1,1757,901.00,117.00,235.00,674.00,1,-1,-1,-1
1,1756,4.00,-1.00,342.00,1069.00,1,-1,-1,-1
2,1758,879.00,192.00,166.00,419.00,1,-1,-1,-1
2,1757,908.99,119.36,221.01,671.27,1,-1,-1,-1
2,1756,-2.72,1.95,331.44,1073.11,1,-1,-1,-1
3,1758,885.89,178.84,173.22,427.32,1,-1,-1,-1
3,1757,904.90,133.77,212.38,683.06,1,-1,-1,-1
3,1756,-0.65,-0.74,330.60,1080.94,1,-1,-1,-1
4,1757,905.54,136.02,211.45,708.57,1,-1,-1,-1
4,1756,-13.06,0.70,312.54,1032.51,1,-1,-1,-1
5,1757,905.49,139.20,210.54,703.98,1,-1,-1,-1
5,1756,-13.06,2.26,295.50,1009.93,1,-1,-1,-1
6,1757,907.92,133.67,210.07,708.35,1,-1,-1,-1
6,1756,-10.08,10.99,282.39,990.45,1,-1,-1,-1
7,1757,909.70,126.93,211.71,713.73,1,-1,-1,-1
7,1756,6.69,20.34,304.52,1039.10,1,-1,-1,-1
8,1757,898.68,124.36,223.79,711.97,1,-1,-1,-1
8,1756,-7.12,24.37,270.58,983.93,1,-1,-1,-1
9,1757,886.68,104.55,237.40,721.33,1,-1,-1,-1
9,1756,-9.91,29.88,234.36,917.57,1,-1,-1,-1
10,1757,890.25,129.24,229.29,715.00,1,-1,-1,-1
10,1756,-7.29,40.01,203.58,825.27,1,-1,-1,-1
11,1761,339.34,293.47,95.48,286.51,1,-1,-1,-1
11,1757,893.64,131.21,235.06,712.08,1,-1,-1,-1
11,1756,-3.00,51.11,177.57,769.14,1,-1,-1,-1
12,1757,893.80,138.51,238.85,723.00,1,-1,-1,-1
12,1756,4.26,68.76,157.96,739.52,1,-1,-1,-1
13,1757,890.31,137.18,236.09,719.00,1,-1,-1,-1
14,1757,889.36,146.11,228.40,719.56,1,-1,-1,-1
20,1757,881.81,168.40,214.34,728.54,1,-1,-1,-1
21,1757,876.63,161.16,213.06,728.18,1,-1,-1,-1
22,1759,484.26,273.44,134.27,427.74,1,-1,-1,-1
22,1757,887.25,167.75,208.50,723.53,1,-1,-1,-1
23,1760,364.29,280.99,166.75,420.17,1,-1,-1,-1
23,1759,492.41,273.36,137.43,430.15,1,-1,-1,-1
23,1757,896.58,175.34,209.35,718.54,1,-1,-1,-1
24,1761,318.61,295.48,121.16,382.04,1,-1,-1,-1
24,1760,363.59,279.32,164.01,411.93,1,-1,-1,-1
24,1759,496.85,275.68,139.14,430.69,1,-1,-1,-1
24,1757,903.75,172.81,211.63,708.27,1,-1,-1,-1
25,1761,322.28,293.89,121.75,390.88,1,-1,-1,-1
25,1760,366.98,282.09,163.75,413.09,1,-1,-1,-1
25,1759,491.49,272.78,142.51,434.87,1,-1,-1,-1
25,1757,909.89,173.82,214.12,700.88,1,-1,-1,-1
26,1760,375.15,285.49,163.86,413.90,1,-1,-1,-1
26,1759,481.24,276.35,149.58,436.76,1,-1,-1,-1
26,1757,919.18,186.32,215.46,701.80,1,-1,-1,-1
