timestamp,imagen,clase,confianza,x1,y1,x2,y2
2025-07-10 00:13:52,000001.jpg,persona,0.85,1337,418,1499,785
2025-07-10 00:13:52,000001.jpg,persona,0.84,583,447,674,708
2025-07-10 00:13:52,000001.jpg,persona,0.77,1457,434,1595,762
2025-07-10 00:13:52,000001.jpg,persona,0.74,439,445,550,719
2025-07-10 00:13:52,000001.jpg,persona,0.54,732,458,769,571
2025-07-10 00:13:52,000001.jpg,persona,0.49,1255,433,1298,549
2025-07-10 00:13:52,000001.jpg,persona,0.26,1876,395,1919,643
2025-07-10 00:14:01,000002.jpg,persona,0.86,1341,416,1508,786
2025-07-10 00:14:01,000002.jpg,persona,0.84,583,448,676,707
2025-07-10 00:14:01,000002.jpg,persona,0.76,437,445,549,720
2025-07-10 00:14:01,000002.jpg,persona,0.69,1456,433,1598,764
2025-07-10 00:14:01,000002.jpg,persona,0.55,733,465,770,571
2025-07-10 00:14:01,000002.jpg,persona,0.45,1255,429,1300,548
2025-07-10 00:14:01,000002.jpg,persona,0.27,1875,395,1919,648
2025-07-10 00:14:03,000003.jpg,persona,0.85,1341,420,1521,798
2025-07-10 00:14:03,000003.jpg,persona,0.84,583,447,675,708
2025-07-10 00:14:03,000003.jpg,persona,0.74,435,443,555,721
2025-07-10 00:14:03,000003.jpg,persona,0.7,1474,435,1604,767
2025-07-10 00:14:03,000003.jpg,persona,0.52,732,460,770,570
2025-07-10 00:14:03,000003.jpg,persona,0.38,1255,431,1294,547
2025-07-10 00:14:04,000004.jpg,persona,0.88,1347,421,1526,800
2025-07-10 00:14:04,000004.jpg,persona,0.83,582,447,675,708
2025-07-10 00:14:04,000004.jpg,persona,0.74,435,441,561,721
2025-07-10 00:14:04,000004.jpg,persona,0.74,1484,428,1597,769
2025-07-10 00:14:04,000004.jpg,persona,0.5,733,461,770,570
2025-07-10 00:14:04,000004.jpg,persona,0.34,1255,432,1294,547
2025-07-10 00:14:06,000005.jpg,persona,0.91,1353,418,1526,802
2025-07-10 00:14:06,000005.jpg,persona,0.84,582,448,675,708
